ID,Nombre (Español),Músculo,Equipamiento,Fase Inicial Prompt,Fase Final Prompt
"fondos_paralelas_torso","Fondos en paralelas inclinando el torso","Pecho","peso_corporal","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, in the starting relaxed stretch phase of fondos en paralelas inclinando el torso. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, at the peak contraction finish phase of fondos en paralelas inclinando el torso, squeezing the target muscles. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_declinado_barra","Press declinado con barra","Pecho","barra","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding a barbell in the starting relaxed stretch phase of press declinado con barra. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding a barbell at the peak contraction finish phase of press declinado con barra, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"press_declinado_mancuernas","Press declinado con mancuernas","Pecho","mancuernas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells in the starting relaxed stretch phase of press declinado con mancuernas. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding dumbbells at the peak contraction finish phase of press declinado con mancuernas, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"cruce_poleas_arriba_abajo","Cruce de poleas de arriba hacia abajo","Pecho","poleas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding the cable pulley attachment in the starting relaxed stretch phase of cruce de poleas de arriba hacia abajo. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, holding the cable pulley attachment at the peak contraction finish phase of cruce de poleas de arriba hacia abajo, squeezing the muscles tightly. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"flexiones_inclinadas_banco","Flexiones inclinadas en banco","Pecho","peso_corporal","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, in the starting relaxed stretch phase of flexiones inclinadas en banco. The chest (pectoralis major) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Frontal three-quarter perspective view, at the peak contraction finish phase of flexiones inclinadas en banco, squeezing the target muscles. The chest (pectoralis major) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"jalon_pecho_amplio","Jalón al pecho agarre amplio","Espalda","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of jalón al pecho agarre amplio. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, positioned in a exercise machine at the peak contraction finish phase of jalón al pecho agarre amplio, squeezing the target muscles. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"jalon_pecho_neutro","Jalón al pecho agarre neutro","Espalda","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of jalón al pecho agarre neutro. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, positioned in a exercise machine at the peak contraction finish phase of jalón al pecho agarre neutro, squeezing the target muscles. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"dominadas","Dominadas","Espalda","peso_corporal","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, in the starting relaxed stretch phase of dominadas. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, at the peak contraction finish phase of dominadas, squeezing the target muscles. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"dominadas_asistidas","Dominadas asistidas","Espalda","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of dominadas asistidas. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, positioned in a exercise machine at the peak contraction finish phase of dominadas asistidas, squeezing the target muscles. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"pullover_polea_alta","Pull-over en polea alta","Espalda","poleas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding the cable pulley attachment in the starting relaxed stretch phase of pull-over en polea alta. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding the cable pulley attachment at the peak contraction finish phase of pull-over en polea alta, squeezing the muscles tightly. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"remo_barra","Remo con barra","Espalda","barra","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding a barbell in the starting relaxed stretch phase of remo con barra. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding a barbell at the peak contraction finish phase of remo con barra, squeezing the muscles tightly. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"remo_sentado_polea","Remo sentado en polea","Espalda","poleas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding the cable pulley attachment in the starting relaxed stretch phase of remo sentado en polea. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding the cable pulley attachment at the peak contraction finish phase of remo sentado en polea, squeezing the muscles tightly. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"remo_mancuerna_unilateral","Remo con mancuerna unilateral","Espalda","mancuernas","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding dumbbells in the starting relaxed stretch phase of remo con mancuerna unilateral. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding dumbbells at the peak contraction finish phase of remo con mancuerna unilateral, squeezing the muscles tightly. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"remo_t_bar","Remo T-bar","Espalda","barra","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding a barbell in the starting relaxed stretch phase of remo t-bar. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding a barbell at the peak contraction finish phase of remo t-bar, squeezing the muscles tightly. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"remo_maquina","Remo en máquina","Espalda","maquina","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, seated or positioned in a exercise machine, in the starting relaxed stretch phase of remo en máquina. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, positioned in a exercise machine at the peak contraction finish phase of remo en máquina, squeezing the target muscles. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
"peso_muerto_convencional","Peso muerto convencional","Espalda","barra","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding a barbell in the starting relaxed stretch phase of peso muerto convencional. The upper and middle back (lats and rhomboids) muscles are highlighted in a soft, inactive red-orange color.","Anatomical 3D model illustration of a highly defined, muscular grey male human figure on a solid pure complete black background. The figure has short cropped hair and is wearing only a tight black athletic boxer shorts. The composition is fully centered, with a wide generous margin on all sides of the figure (top, bottom, left, right) to ensure the character is completely contained inside the frame without touching any edges. High-end, premium fitness application style render. No text, no lines, no labels, no logos. Back view, holding a barbell at the peak contraction finish phase of peso muerto convencional, squeezing the muscles tightly. The upper and middle back (lats and rhomboids) muscles are highlighted in a bright glowing neon red-orange color showing maximum muscle contraction."
